date,areaType,areaCode,areaName,newCasesBySpecimenDate
"2020-07-15",utla,S12000039,West Dunbartonshire,0
"2020-08-09",utla,E08000003,Manchester,21
"2020-07-14",utla,S12000039,West Dunbartonshire,0
"2020-05-23",utla,S12000038,Renfrewshire,1
"2020-02-29",utla,S12000014,Falkirk,0
"2020-08-08",utla,E08000003,Manchester,33
"2020-07-13",utla,S12000039,West Dunbartonshire,1
"2020-05-22",utla,S12000038,Renfrewshire,4
"2020-02-28",utla,S12000014,Falkirk,0
"2020-08-07",utla,E08000003,Manchester,24
"2020-08-06",utla,E08000003,Manchester,29
"2020-07-12",utla,S12000039,West Dunbartonshire,0
"2020-07-11",utla,S12000039,West Dunbartonshire,0
"2020-08-05",utla,E08000003,Manchester,36
"2020-07-10",utla,S12000039,West Dunbartonshire,0
"2020-07-09",utla,S12000039,West Dunbartonshire,1
"2020-08-04",utla,E08000003,Manchester,33
"2020-05-04",utla,S12000008,East Ayrshire,17
"2020-07-08",utla,S12000039,West Dunbartonshire,0
"2020-05-03",utla,S12000008,East Ayrshire,5
"2020-05-05",utla,W06000023,Powys,5
"2020-07-07",utla,S12000039,West Dunbartonshire,0
"2020-03-07",utla,S12000027,Shetland Islands,0
"2020-05-02",utla,S12000008,East Ayrshire,4
"2020-05-01",utla,S12000008,East Ayrshire,8
"2020-03-06",utla,S12000027,Shetland Islands,2
"2020-08-03",utla,E08000003,Manchester,36
"2020-04-30",utla,S12000008,East Ayrshire,7
"2020-03-05",utla,S12000027,Shetland Islands,0
"2020-04-29",utla,S12000008,East Ayrshire,13
"2020-08-02",utla,E08000003,Manchester,18
"2020-03-04",utla,S12000027,Shetland Islands,0
"2020-04-28",utla,S12000008,East Ayrshire,13
"2020-03-03",utla,S12000027,Shetland Islands,0
"2020-04-27",utla,S12000008,East Ayrshire,7
"2020-04-26",utla,S12000008,East Ayrshire,8
"2020-04-25",utla,S12000008,East Ayrshire,5
"2020-08-01",utla,E08000003,Manchester,18
"2020-04-24",utla,S12000008,East Ayrshire,2
"2020-07-31",utla,E08000003,Manchester,20
